'BS 1','BS 2','SF','HDOP',latitude,longitude,Latitude,Longitude
-91,-93,7,0.600000024,0,0,38.5606892,-121.4221989
-91,-93,7,0.600000024,0,0,38.5606892,-121.4221989
-92,-92,7,0.600000024,0,0,38.5606892,-121.4221989
-91,-91,8,0.600000024,0,0,38.5606892,-121.4221989
-89,-93,8,0.600000024,0,0,38.5606892,-121.4221989
-91,-94,8,1.05,0,1,38.5606892,-121.4221881
-91,-95,8,1.05,0,1,38.5606892,-121.4221881
-92,-95,8,1.05,0,1,38.5606892,-121.4221881
-92,-95,7,1.05,0,1,38.5606892,-121.4221881
-92,-95,7,1.05,0,1,38.5606892,-121.4221881
-93,-90,7,0.800000012,0,2.5,38.5606892,-121.4221799
-94,-93,7,0.800000012,0,2.5,38.5606892,-121.4221799
-94,-90,7,0.800000012,0,2.5,38.5606892,-121.4221799
-91,-90,7,0.800000012,0,2.5,38.5606892,-121.4221799
-91,-90,7,0.800000012,0,2.5,38.5606892,-121.4221799
-91,-92,9,0.610000014,0,4.5,38.5606892,-121.4221749
-92,-92,9,0.610000014,0,4.5,38.5606892,-121.4221749
-92,-92,9,0.610000014,0,4.5,38.5606892,-121.4221749
-91,-92,9,0.610000014,0,4.5,38.5606892,-121.4221749
-91,-92,9,0.610000014,0,4.5,38.5606892,-121.4221749
-91,-92,10,0.779999971,0,5.5,38.5606892,-121.4221723
-89,-94,7,1.1,0,5.5,38.5606892,-121.4221723
-89,-94,7,1.1,0,5.5,38.5606892,-121.4221723
-89,-94,7,1.1,0,5.5,38.5606892,-121.4221723
-88,-92,7,1.1,0,5.5,38.5606892,-121.4221723
-89,-92,6,1.32,0,7,38.5606892,-121.4221645
-87,-91,6,1.32,0,7,38.5606892,-121.4221645
-87,-91,6,1.32,0,7,38.5606892,-121.4221645
-87,-92,6,1.32,0,7,38.5606892,-121.4221645
-87,-92,6,1.32,0,7,38.5606892,-121.4221645
-89,-93,9,2.4367,0,8,38.5606892,-121.4221679
-88,-93,9,2.4367,0,8,38.5606892,-121.4221679
-87,-92,9,2.4367,0,8,38.5606892,-121.4221679
-87,-93,9,2.4367,0,8,38.5606892,-121.4221679
-88,-93,9,2.4367,0,8,38.5606892,-121.4221679
-88,-87,11,0.7253111,0,8,38.5607019,-121.4221719
-86,-87,11,0.7253111,0,8,38.5607019,-121.4221719
-86,-87,11,0.7253111,0,8,38.5607019,-121.4221719
-86,-87,11,0.7253111,0,8,38.5607019,-121.4221719
-88,-84,11,0.7253111,0,8,38.5607019,-121.4221719
-87,-88,10,3.7146,1.5,8,38.5607127,-121.4221719
-88,-86,10,3.7146,1.5,8,38.5607127,-121.4221719
-87,-86,10,3.7146,1.5,8,38.5607127,-121.4221719
-87,-88,10,3.7146,1.5,8,38.5607127,-121.4221719
-88,-88,10,3.7146,1.5,8,38.5607127,-121.4221719
-85,-87,9,0.640000045,3,8,38.5607234,-121.4221719
-85,-87,9,0.640000045,3,8,38.5607234,-121.4221719
-84,-87,9,0.640000045,3,8,38.5607234,-121.4221719
-84,-87,9,0.640000045,3,8,38.5607234,-121.4221719
-84,-87,9,0.640000045,3,8,38.5607234,-121.4221719
-85,-88,10,2.789,4,8,38.5607265,-121.4221719
-85,-87,10,2.789,4,8,38.5607265,-121.4221719
-86,-87,10,2.789,4,8,38.5607265,-121.4221719
-86,-87,10,2.789,4,8,38.5607265,-121.4221719
-88,-89,10,2.789,4,8,38.5607265,-121.4221719
-87,-88,12,6.2465,6.5,8,38.5607243,-121.4221719
-88,-86,12,6.2465,6.5,8,38.5607243,-121.4221719
-87,-86,12,6.2465,6.5,8,38.5607243,-121.4221719
-87,-88,12,6.2465,6.5,8,38.5607243,-121.4221719
-88,-88,12,6.2465,6.5,8,38.5607243,-121.4221719
-83,-84,7,4.5632,7.5,8,38.5607214,-121.4221719
-83,-84,7,4.5632,7.5,8,38.5607214,-121.4221719
-83,-85,7,4.5632,7.5,8,38.5607214,-121.4221719
-81,-86,7,4.5632,7.5,8,38.5607214,-121.4221719
-81,-86,7,4.5632,7.5,8,38.5607214,-121.4221719
-79,-82,8,5.7253111,9.5,8,38.5607119,-121.4221719
-79,-82,8,5.7253111,9.5,8,38.5607119,-121.4221719
-81,-82,8,5.7253111,9.5,8,38.5607119,-121.4221719
-81,-82,8,5.7253111,9.5,8,38.5607119,-121.4221719
-82,-82,8,5.7253111,9.5,8,38.5607119,-121.4221719
-78,-79,10,4.75234,11.5,8,38.5607227,-121.4221719
-75,-77,10,4.75234,11.5,8,38.5607227,-121.4221719
-76,-77,10,4.75234,11.5,8,38.5607227,-121.4221719
-76,-77,10,4.75234,11.5,8,38.5607227,-121.4221719
-76,-77,10,4.75234,11.5,8,38.5607227,-121.4221719
-75,-72,9,7.6445634,13.5,8,38.5607332,-121.4221719
-76,-72,9,7.6445634,13.5,8,38.5607332,-121.4221719
-73,-72,9,7.6445634,13.5,8,38.5607332,-121.4221719
-73,-72,9,7.6445634,13.5,8,38.5607332,-121.4221719
-73,-72,9,7.6445634,13.5,8,38.5607332,-121.4221719
-72,-74,7,9.6773,15.5,8,38.5610347,-121.4221719
-72,-73,7,9.6773,15.5,8,38.5610347,-121.4221719
-73,-72,7,9.6773,15.5,8,38.5610347,-121.4221719
-73,-71,7,9.6773,15.5,8,38.5610347,-121.4221719
-73,-71,7,9.6773,15.5,8,38.5610347,-121.4221719
-71,-70,8,5.7324234,17,8,38.5610687,-121.4221719
-71,-69,8,5.7324234,17,8,38.5610687,-121.4221719
-70,-68,8,5.7324234,17,8,38.5610687,-121.4221719
-70,-68,8,5.7324234,17,8,38.5610687,-121.4221719
-72,-68,8,5.7324234,17,8,38.5610687,-121.4221719
